Année,Produits pétroliers,Electricité,Gaz,Charbon,Energie du bois,Chaleur à distance,Déchets industriels,Energies renouvelables
1910,740,3530,2220,76310,17190,0,0,0
1911,960,4330,2350,84660,17190,0,0,0
1912,1010,5040,2570,85380,17190,0,0,0
1913,1030,5450,2550,89450,17190,0,0,0
1914,670,5670,2570,86900,16830,0,0,0
1915,491,6240,2660,87740,14930,0,0,0
1916,182,6840,2900,82780,12590,0,0,0
1917,313,7560,2190,68380,13580,0,0,0
1918,300,8390,1920,63880,18330,0,0,0
1919,639,8140,1850,48610,19750,0,0,0
1920,1860,7630,2000,64140,17490,0,0,0
1921,1350,7200,2000,48510,16760,0,0,0
1922,2650,7850,2110,60480,18990,0,0,0
1923,3070,8570,2260,75480,21880,0,0,0
1924,3520,9760,2400,70060,21070,0,0,0
1925,4480,10330,2570,72650,19930,0,0,0
1926,4950,10870,2720,71980,20010,0,0,0
1927,5990,11560,2900,81560,19110,0,0,0
1928,7320,12240,3100,80710,19420,0,0,0
1929,8840,13050,3330,94010,20060,0,0,0
1930,10000,12830,3470,84870,19310,0,0,0
1931,11610,12070,3640,87290,20390,0,0,0
1932,13940,11550,3800,86080,19260,0,0,0
1933,14540,12270,3820,81390,19000,0,0,0
1934,15940,12800,3880,80970,19060,0,0,0
1935,16050,13530,3870,79800,19830,0,0,0
1936,15490,14460,3850,82030,18100,0,0,0
1937,15110,16960,3920,85220,18020,0,0,0
1938,15920,16900,4020,85190,17950,0,0,0
1939,16340,18390,4020,86450,18160,0,0,0
1940,10560,19630,4240,70500,23120,0,0,0
1941,4080,20570,3490,62460,31270,0,0,0
1942,2990,20490,3390,58460,30830,0,0,0
1943,2600,22450,3350,51740,31270,0,0,0
1944,2160,24200,3480,41320,30260,0,0,0
1945,1150,27550,2430,42620,32920,0,0,0
1946,14990,29650,2820,44940,34230,0,0,0
1947,28360,28220,3300,56480,22310,0,0,0
1948,29690,31950,3650,59670,23030,0,0,0
1949,33230,28330,3740,59780,20730,0,0,0
1950,42740,31780,3770,67690,21720,0,0,0
1951,46330,36780,3870,70750,21550,0,0,0
1952,50400,37770,3930,74120,21320,0,0,0
1953,54890,39200,3970,61560,19940,0,0,0
1954,67270,40560,4050,71990,18280,0,0,0
1955,78440,44780,4030,75330,18120,0,0,0
1956,101070,46120,4190,81280,17250,0,0,0
1957,100290,48120,4130,74920,17820,0,0,0
1958,117930,50120,4100,67360,16560,0,0,0
1959,125980,51780,4060,68510,15110,0,0,0
1960,150610,57210,4120,68080,14520,0,0,0
1961,169650,60270,4090,63270,14170,0,0,0
1962,205730,63780,4210,68490,16150,0,0,0
1963,252130,66540,4400,68150,16180,0,0,0
1964,273710,69650,4280,54510,16220,0,0,0
1965,309690,72800,4360,43980,16830,0,0,0
1966,320980,74550,4350,36070,14730,0,0,0
1967,343690,77500,4470,30700,14290,0,0,0
1968,377130,80770,4700,29930,13630,0,0,0
1969,416280,85320,5950,27230,12310,0,0,0
1970,454570,90310,6620,24440,10110,0,0,0
1971,484750,94490,7600,16500,9670,0,0,0
1972,497190,97710,8200,13790,9230,0,0,0
1973,536480,103590,9550,12960,10110,0,0,0
1974,481570,106440,13550,12130,8350,0,0,0
1975,470900,104050,18870,9580,8350,0,0,0
1976,477700,107650,20430,8600,8350,0,0,0
1977,480600,112640,24120,10500,8350,0,0,0
1978,505600,116870,22450,9200,7910,5760,3600,0
1979,482700,121560,25420,9440,9010,6070,3700,0
1980,489480,126910,30370,13630,26280,7920,3700,0
1981,465710,130300,33370,20110,25480,8320,4600,0
1982,448660,132230,35830,17790,24930,8430,4880,0
1983,460190,136690,39920,15340,25340,8610,5160,0
1984,471240,142790,45410,19770,26560,9210,6280,0
1985,471830,148760,47660,19790,27030,9430,6400,0
1986,484570,152450,48980,17200,26290,9860,6530,0
1987,485320,156930,52820,16420,26380,11250,6560,0
1988,489060,159580,53800,14030,25010,10720,6590,0
1989,483030,163810,58830,14010,24870,10780,6640,0
1990,496810,167680,63640,14360,28650,10420,8680,4090
1991,520590,171310,71450,12540,31570,12090,10740,4590
1992,523760,172320,75360,8660,30610,11970,10720,4620
1993,499000,170060,79320,7280,30720,11310,11960,4820
1994,485950,168830,78060,7350,28670,11280,10110,4790
1995,494040,172380,86000,7920,30640,11970,10440,5240
1996,502620,175290,92320,5960,33670,12480,11110,5740
1997,496990,175000,88550,4590,29620,12980,10090,5670
1998,514210,178630,91550,3810,30140,13250,10320,6050
1999,514600,184370,92840,3960,29810,13210,8930,6300
2000,501800,188540,93160,5770,28130,13180,10440,6330
2001,512620,193500,97020,6030,29900,13900,10450,6780
2002,488050,194500,94860,5560,28690,14020,10190,6930
2003,495070,198440,99980,5710,30740,14590,11060,7430
2004,490880,202220,103430,5420,30590,14770,10980,7790
2005,493210,206390,106460,6040,31890,15240,10880,8530
2006,488980,208020,104420,6520,32600,15720,10990,8970
2007,470060,206760,102180,7300,31720,14670,10600,9710
2008,486650,211420,108880,6560,35900,15260,11130,11200
2009,475530,206980,104530,6190,37160,15120,9510,12050
2010,485480,215230,115940,6210,40930,17030,10040,14300
2011,447440,210960,104210,5740,35620,15660,10510,14200
2012,460980,212300,114320,5170,39440,16650,10650,16310
2013,468230,213560,120790,5570,43460,17580,10800,17890
2014,425810,206880,107130,5700,36730,15980,12320,17440
2015,424420,209690,112930,5210,39150,18140,10610,20560
2016,428170,209660,117240,4790,42320,19350,11210,23690
2017,418020,210540,118910,4610,42720,19790,11220,26440
2018,409930,207530,112310,4290,40450,19360,11070,28310
2019,406670,205910,115210,3810,41080,21530,11670,30350
2020,327830,200570,112900,3660,39860,21050,11610,30420
2021,344920,209210,122280,3700,46390,23090,12030,33100
