date,name,value
1910-01-01,Combustibles,240
1910-01-01,Carburants,500
1910-01-01,Electricité,3530
1910-01-01,Gaz,2220
1910-01-01,Charbon,76310
1910-01-01,Energie du bois,17190
1910-01-01,Chaleur à distance,0
1910-01-01,Déchets industriels,0
1910-01-01,Carburants biogènes,0
1910-01-01,Biogaz,0
1910-01-01,Soleil,0
1910-01-01,Chaleur ambiante,0
1911-01-01,Combustibles,340
1911-01-01,Carburants,620
1911-01-01,Electricité,4330
1911-01-01,Gaz,2350
1911-01-01,Charbon,84660
1911-01-01,Energie du bois,17190
1911-01-01,Chaleur à distance,0
1911-01-01,Déchets industriels,0
1911-01-01,Carburants biogènes,0
1911-01-01,Biogaz,0
1911-01-01,Soleil,0
1911-01-01,Chaleur ambiante,0
1912-01-01,Combustibles,350
1912-01-01,Carburants,660
1912-01-01,Electricité,5040
1912-01-01,Gaz,2570
1912-01-01,Charbon,85380
1912-01-01,Energie du bois,17190
1912-01-01,Chaleur à distance,0
1912-01-01,Déchets industriels,0
1912-01-01,Carburants biogènes,0
1912-01-01,Biogaz,0
1912-01-01,Soleil,0
1912-01-01,Chaleur ambiante,0
1913-01-01,Combustibles,340
1913-01-01,Carburants,690
1913-01-01,Electricité,5450
1913-01-01,Gaz,2550
1913-01-01,Charbon,89450
1913-01-01,Energie du bois,17190
1913-01-01,Chaleur à distance,0
1913-01-01,Déchets industriels,0
1913-01-01,Carburants biogènes,0
1913-01-01,Biogaz,0
1913-01-01,Soleil,0
1913-01-01,Chaleur ambiante,0
1914-01-01,Combustibles,150
1914-01-01,Carburants,520
1914-01-01,Electricité,5670
1914-01-01,Gaz,2570
1914-01-01,Charbon,86900
1914-01-01,Energie du bois,16830
1914-01-01,Chaleur à distance,0
1914-01-01,Déchets industriels,0
1914-01-01,Carburants biogènes,0
1914-01-01,Biogaz,0
1914-01-01,Soleil,0
1914-01-01,Chaleur ambiante,0
1915-01-01,Combustibles,41
1915-01-01,Carburants,450
1915-01-01,Electricité,6240
1915-01-01,Gaz,2660
1915-01-01,Charbon,87740
1915-01-01,Energie du bois,14930
1915-01-01,Chaleur à distance,0
1915-01-01,Déchets industriels,0
1915-01-01,Carburants biogènes,0
1915-01-01,Biogaz,0
1915-01-01,Soleil,0
1915-01-01,Chaleur ambiante,0
1916-01-01,Combustibles,12
1916-01-01,Carburants,170
1916-01-01,Electricité,6840
1916-01-01,Gaz,2900
1916-01-01,Charbon,82780
1916-01-01,Energie du bois,12590
1916-01-01,Chaleur à distance,0
1916-01-01,Déchets industriels,0
1916-01-01,Carburants biogènes,0
1916-01-01,Biogaz,0
1916-01-01,Soleil,0
1916-01-01,Chaleur ambiante,0
1917-01-01,Combustibles,3
1917-01-01,Carburants,310
1917-01-01,Electricité,7560
1917-01-01,Gaz,2190
1917-01-01,Charbon,68380
1917-01-01,Energie du bois,13580
1917-01-01,Chaleur à distance,0
1917-01-01,Déchets industriels,0
1917-01-01,Carburants biogènes,0
1917-01-01,Biogaz,0
1917-01-01,Soleil,0
1917-01-01,Chaleur ambiante,0
1918-01-01,Combustibles,10
1918-01-01,Carburants,290
1918-01-01,Electricité,8390
1918-01-01,Gaz,1920
1918-01-01,Charbon,63880
1918-01-01,Energie du bois,18330
1918-01-01,Chaleur à distance,0
1918-01-01,Déchets industriels,0
1918-01-01,Carburants biogènes,0
1918-01-01,Biogaz,0
1918-01-01,Soleil,0
1918-01-01,Chaleur ambiante,0
1919-01-01,Combustibles,49
1919-01-01,Carburants,590
1919-01-01,Electricité,8140
1919-01-01,Gaz,1850
1919-01-01,Charbon,48610
1919-01-01,Energie du bois,19750
1919-01-01,Chaleur à distance,0
1919-01-01,Déchets industriels,0
1919-01-01,Carburants biogènes,0
1919-01-01,Biogaz,0
1919-01-01,Soleil,0
1919-01-01,Chaleur ambiante,0
1920-01-01,Combustibles,370
1920-01-01,Carburants,1490
1920-01-01,Electricité,7630
1920-01-01,Gaz,2000
1920-01-01,Charbon,64140
1920-01-01,Energie du bois,17490
1920-01-01,Chaleur à distance,0
1920-01-01,Déchets industriels,0
1920-01-01,Carburants biogènes,0
1920-01-01,Biogaz,0
1920-01-01,Soleil,0
1920-01-01,Chaleur ambiante,0
1921-01-01,Combustibles,390
1921-01-01,Carburants,960
1921-01-01,Electricité,7200
1921-01-01,Gaz,2000
1921-01-01,Charbon,48510
1921-01-01,Energie du bois,16760
1921-01-01,Chaleur à distance,0
1921-01-01,Déchets industriels,0
1921-01-01,Carburants biogènes,0
1921-01-01,Biogaz,0
1921-01-01,Soleil,0
1921-01-01,Chaleur ambiante,0
1922-01-01,Combustibles,1010
1922-01-01,Carburants,1640
